tweet;manual_label;tweet_cleaned_id;tweet_preprocessed
Sangat positif di era e-tilang;2;sangat positif di era etilang;['sangat', 'positif', 'di', 'era', 'etilang']
"APEL PAGI POLRESTA SERANG KOTA

WAKA SATLANTAS POLRESTA SERANG KOTA IPTU ADE KOMARUDIN S.H PIMPIN PELAKSANAAN APEL PAGI BERIKAN INFORMASI TERKAIT ADANYA TILANG ELEKTRONIK WILAYAH KOTA SERANG,PADA KAMIS 15 DESEMBER 2022.

#polripresisi
#polrestaserangkota
#humaspolrestaserangkota https://t.co/F6KfbyyMW1";1;apel pagi polresta serang kota waka satlantas polresta serang kota iptu ade komarudin sh pimpin pelaksanaan apel pagi berikan informasi terkait adanya tilang elektronik wilayah kota serangpada kamis  desember     ;['apel', 'pagi', 'polresta', 'serang', 'kota', 'waka', 'satlantas', 'polresta', 'serang', 'kota', 'iptu', 'ade', 'komarudin', 'sh', 'pimpin', 'laksana', 'apel', 'pagi', 'ikan', 'informasi', 'kait', 'ada', 'tilang', 'elektronik', 'wilayah', 'kota', 'serangpada', 'kamis', 'desember']
DPP LIPPI Dukung Pemberlakuan Tilang Elektronik Atau Etle Bagi Pengendara https://t.co/GzWxdbPow1;2;dpp lippi dukung pemberlakuan tilang elektronik atau etle bagi pengendara ;['dpp', 'lippi', 'dukung', 'laku', 'tilang', 'elektronik', 'atau', 'etle', 'bagi', 'kendara']
Polda Metro Jaya Sebut ETLE Mobile Tilang 250 Pelanggar Tiap Hari https://t.co/jhuZXm9PZK;1;polda metro jaya sebut etle mobile tilang  pelanggar tiap hari ;['polda', 'metro', 'jaya', 'sebut', 'etle', 'mobile', 'tilang', 'langgar', 'tiap', 'hari']
Data gar lantqs yang tercapture kamera Etle Mobile Handheld https://t.co/lwmVye8LAX;1;data gar lantqs yang tercapture kamera etle mobile handheld ;['data', 'gar', 'lantqs', 'yang', 'tercapture', 'kamera', 'etle', 'mobile', 'handheld']
Warga Probolinggo Copot Pelat Hindari ETLE, Polri Akan Pakai Face Recognition https://t.co/V5gJp4laXJ;1;warga probolinggo copot pelat hindari etle polri akan pakai face recognition ;['warga', 'probolinggo', 'copot', 'pelat', 'hindar', 'etle', 'polri', 'akan', 'pakai', 'face', 'recognition']
"Sosialisasi ETLE dan aplikasi smart city Banyuasin dolor Kito, bersama dengan camat se Banyuasin
#PolriPresisi 
#poldasumsel 
#kapoldasumsel 
#polresbanyuasin 
#PolresBanyuasinPRIMA 
#kapolresbanyuasin 
#polsekmuarapadang https://t.co/XzWhccGjn8";1;sosialisasi etle dan aplikasi smart city banyuasin dolor kito bersama dengan camat se banyuasin        ;['sosialisasi', 'etle', 'dan', 'aplikasi', 'smart', 'city', 'banyuasin', 'dolor', 'kito', 'sama', 'dengan', 'camat', 'se', 'banyuasin']
Tahap Sosialisasi, 3 Tiang Kamera ETLE Dibangun di Sepanjang Jalur Utama Denpasar-Gilimanuk https://t.co/J1P5XKUpGq;1;tahap sosialisasi  tiang kamera etle dibangun di sepanjang jalur utama denpasargilimanuk ;['tahap', 'sosialisasi', 'tiang', 'kamera', 'etle', 'bangun', 'di', 'panjang', 'jalur', 'utama', 'denpasargilimanuk']
Polda Metro Jaya: 100 Ribu Lebih Pengendara Kena Tilang ETLE Januari-Oktober https://t.co/beZZuGvefN #TempoMetro;1;polda metro jaya  ribu lebih pengendara kena tilang etle januarioktober  ;['polda', 'metro', 'jaya', 'ribu', 'lebih', 'kendara', 'kena', 'tilang', 'etle', 'januarioktober']
11 ETLE Mobile Sisir Jalanan Jakarta, Siap Tindak Pelanggar Lalu Lintas https://t.co/8bZk17Kv5q;1; etle mobile sisir jalanan jakarta siap tindak pelanggar lalu lintas ;['etle', 'mobile', 'sisir', 'jalan', 'jakarta', 'siap', 'tindak', 'langgar', 'lalu', 'lintas']
"GIAT PELAYANAN SIM &amp; ETLE SAT LANTAS POLRES TARAKAN https://t.co/Qn8xzhYrk8";1;giat pelayanan sim dan etle sat lantas polres tarakan ;['giat', 'layan', 'sim', 'dan', 'etle', 'sat', 'lantas', 'polres', 'tara']
"Giat Sisialisasi ETLE di Balai Kecamatan Muaradua Kisam
#poldasumsel 
#polresokuselatan https://t.co/DDY2wg1MrQ";1;giat sisialisasi etle di balai kecamatan muaradua kisam   ;['giat', 'sisialisasi', 'etle', 'di', 'balai', 'camat', 'muaradua', 'kisam']
"Komika kedelapan

Korban tilang elektronik, Giawan. https://t.co/J2hknMorjX";1;komika kedelapan korban tilang elektronik giawan ;['komika', 'delap', 'korban', 'tilang', 'elektronik', 'giawan']
Kecamatan Astanajapura Hingga Ciledug Cirebon Diusulkan Dipasang Kamera E-Tilang https://t.co/uZgzQCkBRc #ETilang #KameraETilang #Cirebon;1;kecamatan astanajapura hingga ciledug cirebon diusulkan dipasang kamera etilang    ;['camat', 'astanajapura', 'hingga', 'ciledug', 'cirebon', 'usul', 'pasang', 'kamera', 'etilang']
Jalankan Intruksi Kapolri, Dirlantas Tarik Seluruh Surat Tilang dan Maksimalkan ETLE Mobile https://t.co/y02TbGDTfU;1;jalankan intruksi kapolri dirlantas tarik seluruh surat tilang dan maksimalkan etle mobile ;['jalan', 'intruksi', 'kapolri', 'dirlantas', 'tarik', 'seluruh', 'surat', 'tilang', 'dan', 'maksimal', 'etle', 'mobile']
Beralih ke Sistem ETLE, Satlantas Polrestabes Makassar Hentikan Sistem Tilang Manual https://t.co/vHzOChWoD2;2;beralih ke sistem etle satlantas polrestabes makassar hentikan sistem tilang manual ;['alih', 'ke', 'sistem', 'etle', 'satlantas', 'polrestabes', 'makassar', 'henti', 'sistem', 'tilang', 'manual']
"""E-TLE mobile ini memberikan jaminan kepada masyarakat, untuk dapat kepastian hukum yang adil dan tidak pandang bulu di jalan raya,"" ujar Kapolda. https://t.co/4P41unwnNg";2;etle mobile ini memberikan jaminan kepada masyarakat untuk dapat kepastian hukum yang adil dan tidak pandang bulu di jalan raya ujar kapolda ;['etle', 'mobile', 'ini', 'beri', 'jamin', 'kepada', 'masyarakat', 'untuk', 'dapat', 'pasti', 'hukum', 'yang', 'adil', 'dan', 'tidak', 'pandang', 'bulu', 'di', 'jalan', 'raya', 'ujar', 'kapolda']
"""Operasi Zebra tahun ini dilarang melaksanakan tilang manual, seluruh penilangan dilaksanakan dengan sistem ETLE statis maupun mobile dan dengan teguran simpatik."" kata Kasubbag Ren Ops Bagops Korlantas Polri.
https://t.co/rVr7smOiag";1;operasi zebra tahun ini dilarang melaksanakan tilang manual seluruh penilangan dilaksanakan dengan sistem etle statis maupun mobile dan dengan teguran simpatik kata kasubbag ren ops bagops korlantas polri ;['operasi', 'zebra', 'tahun', 'ini', 'larang', 'laksana', 'tilang', 'manual', 'seluruh', 'tilang', 'laksana', 'dengan', 'sistem', 'etle', 'statis', 'maupun', 'mobile', 'dan', 'dengan', 'tegur', 'simpatik', 'kata', 'kepala', 'subbagian', 'ren', 'ops', 'bagops', 'korlantas', 'polri']
Tilang Manual Dilarang, Polisi Bakal Manfaatkan Ratusan Kamera ETLE https://t.co/LHr8nEJKbZ;1;tilang manual dilarang polisi bakal manfaatkan ratusan kamera etle ;['tilang', 'manual', 'larang', 'polisi', 'akan', 'manfaat', 'ratus', 'kamera', 'etle']
@kompascom Gmn caranya ETLE menangkap pelanggaran ganjil genap?;1; gmn caranya etle menangkap pelanggaran ganjil genap;['bagaimana', 'cara', 'etle', 'tangkap', 'langgar', 'ganjil', 'genap']
Komisi III DPR Sarankan Tilang Elektronik Dioptimalkan https://t.co/oMVWGH5Wed;2;komisi ii dpr sarankan tilang elektronik dioptimalkan ;['komisi', 'ii', 'dpr', 'saran', 'tilang', 'elektronik', 'optimal']
"Bhabinkamtibmas Polsek Pulau Raja BRIPKA DODI NOPRIADI menghimbau kepada Masyarakat agar mendownload aplikasi super polri app di play store untuk mendapatkan pelayanan online sbb : 
1. Pengaduan Masyarakat
2. SIM Online
3. Pengurusan STNK 
4. Tilang ( ETLE )
5. SP2HP
6. SKCK https://t.co/tpnl9JK8dR";1;bhabinkamtibmas polsek pulau raja bripka dodi nopriadi menghimbau kepada masyarakat agar mendownload aplikasi super polri app di play store untuk mendapatkan pelayanan online sbb   pengaduan masyarakat  sim online  pengurusan stnk  tilang  etle   sphp  skck ;['bhabinkamtibmas', 'polsek', 'pulau', 'raja', 'bripka', 'dodi', 'nopriadi', 'menghimbau', 'kepada', 'masyarakat', 'agar', 'mendownload', 'aplikasi', 'super', 'polri', 'app', 'di', 'play', 'store', 'untuk', 'dapat', 'layan', 'online', 'bagai', 'ikut', 'adu', 'masyarakat', 'sim', 'online', 'urus', 'stnk', 'tilang', 'etle', 'sphp', 'skck']
"Giat kampanye dan sosialisasi ETLE (electronic traffic law enforcement) kepada masyarakat kota Prabumulih , Selasa 8 november 2022

@rtmc_ditlantaspoldasumsel
https://t.co/ScrTfj7eU8";1;giat kampanye dan sosialisasi etle electronic traffic law enforcement kepada masyarakat kota prabumulih  selasa  november   ;['giat', 'kampanye', 'dan', 'sosialisasi', 'etle', 'electronic', 'traffic', 'law', 'enforcement', 'kepada', 'masyarakat', 'kota', 'prabumulih', 'selasa', 'november']
E-tle Jalan Tol Trans Sumatera kendaraan melebih batas kecepatan akan tercapture di direktorat lalu lintas polda lampung https://t.co/VCCzFrNngb;1;etle jalan tol trans sumatera kendaraan melebih batas kecepatan akan tercapture di direktorat lalu lintas polda lampung ;['etle', 'jalan', 'tol', 'trans', 'sumatra', 'kendara', 'lebih', 'batas', 'cepat', 'akan', 'tercapture', 'di', 'direktorat', 'lalu', 'lintas', 'polda', 'lampung']
Kelopak mataku bengkak bantu doa ajalah biar ga dioprasi, soalnya sekarang jamannya etle wkwk https://t.co/nNstqVjOq1;1;kelopak mataku bengkak bantu doa ajalah biar ga dioprasi soalnya sekarang jamannya etle wkwk ;['kelopak', 'mata', 'bengkak', 'bantu', 'doa', 'aja', 'supaya', 'tidak', 'dioprasi', 'soal', 'sekarang', 'jaman', 'etle', 'tertawa']
"Hayo Jasfren, jangan sampe salah tangkep ya. Sekarang menilang itu menggunakan tilang elektronik atau Electronic Traffic Law Enforvement (ETLE) lho!

Nah peraturan ini diterapkan agar jajaran Korlantas bisa memaksimallan penindakan pelanggaran nih.";0;hayo jasfren jangan sampe salah tangkep ya sekarang menilang itu menggunakan tilang elektronik atau electronic traffic law enforvement etle lho nah peraturan ini diterapkan agar jajaran korlantas bisa memaksimallan penindakan pelanggaran nih;['hayo', 'jasfren', 'jangan', 'sampai', 'salah', 'tangkep', 'iya', 'sekarang', 'tilang', 'itu', 'guna', 'tilang', 'elektronik', 'atau', 'electronic', 'traffic', 'law', 'enforvement', 'etle', 'loh', 'nah', 'atur', 'ini', 'terap', 'agar', 'jajar', 'korlantas', 'bisa', 'memaksimallan', 'tindak', 'langgar', 'ini']
#KawalAmanG20 Korlantas Polri akan memaksimalkan penggunaan kamera tilang elektronik atau ETLE dan kendaraan listrik untuk pengamanan dan penjagaan di acara Presidensi G20 di Bali. Sinergi Jaga Kondusifitas https://t.co/GTlABEklX8;1; korlantas polri akan memaksimalkan penggunaan kamera tilang elektronik atau etle dan kendaraan listrik untuk pengamanan dan penjagaan di acara presidensi g di bali sinergi jaga kondusifitas ;['korlantas', 'polri', 'akan', 'maksimal', 'guna', 'kamera', 'tilang', 'elektronik', 'atau', 'etle', 'dan', 'kendara', 'listrik', 'untuk', 'aman', 'dan', 'jaga', 'di', 'acara', 'presidensi', 'g', 'di', 'bal', 'sinergi', 'jaga', 'kondusifitas']
"Hallo #sobatkom 

Electronic Traffic Law Enforcement (ETLE) atau tilang elektronik adalah sistem penegakan hukum di bidang lalu lintas yang berbasis teknologi informasi dengan menggunakan kamera cctv kemudian terdata secara langsung untuk menindak pelanggar lalu lintas. https://t.co/6bYDm7uePh";1;hallo  electronic traffic law enforcement etle atau tilang elektronik adalah sistem penegakan hukum di bidang lalu lintas yang berbasis teknologi informasi dengan menggunakan kamera cctv kemudian terdata secara langsung untuk menindak pelanggar lalu lintas ;['hallo', 'electronic', 'traffic', 'law', 'enforcement', 'etle', 'atau', 'tilang', 'elektronik', 'adalah', 'sistem', 'tega', 'hukum', 'di', 'bidang', 'lalu', 'lintas', 'yang', 'bas', 'teknologi', 'informasi', 'dengan', 'guna', 'kamera', 'cctv', 'kemudian', 'data', 'cara', 'langsung', 'untuk', 'tindak', 'langgar', 'lalu', 'lintas']
"*Ditlantas Polda Kalbar Gelar Talkshow Tentang ETLE di Kompas TV Pontianak*
#polripresisi 
#humaspolri 
@BidhumasKalbar 
@PNC_PoldaKalbar 
@PolresMempawah https://t.co/yyQ9XjuvLV";1;ditlantas polda kalbar gelar talkshow tentang etle di kompas tv pontianak      ;['ditlantas', 'polda', 'kalbar', 'gelar', 'talkshow', 'tentang', 'etle', 'di', 'kompas', 'tv', 'pontianak']
Untuk menjawab keraguan soal efektivitas Kamera Tilang Elektronik atau ETLE yg terpasang Statis di beberapa wilayah jalan arteri dan Tol. Ditlantas Polda Metro jaya  telah  meluncurkan ETLE mobile. Etle Mobile rencananya juga akan dioperasikan di ruas jalan tol. https://t.co/nw5BGBwFt2;2;untuk menjawab keraguan soal efektivitas kamera tilang elektronik atau etle yg terpasang statis di beberapa wilayah jalan arteri dan tol ditlantas polda metro jaya telah meluncurkan etle mobile etle mobile rencananya juga akan dioperasikan di ruas jalan tol ;['untuk', 'jawab', 'ragu', 'soal', 'efektivitas', 'kamera', 'tilang', 'elektronik', 'atau', 'etle', 'yang', 'pasang', 'statis', 'di', 'beberapa', 'wilayah', 'jalan', 'arteri', 'dan', 'tol', 'ditlantas', 'polda', 'metro', 'jaya', 'telah', 'luncur', 'etle', 'mobile', 'etle', 'mobile', 'rencana', 'juga', 'akan', 'operasi', 'di', 'ruas', 'jalan', 'tol']
@detikcom Kan masih ad tilang elektronik. Pelanggaran yg nampak harus di tertipkan .;2; kan masih ad tilang elektronik pelanggaran yg nampak harus di tertipkan ;['kan', 'masih', 'ada', 'tilang', 'elektronik', 'langgar', 'yang', 'nampak', 'harus', 'di', 'tip']
"ETLE MOBILE PRESISI POLDA JATENG

Penindakan pelanggaran lalu lintas secara elektronik dan humanis dengan menggunakan Teknologi.

Jepret jepreettt silahkan lanjut aja gpp tapi 2 hari lagi surat tilangnya dikirim ke rumah. Makasiih... 😊 https://t.co/INhOi2rBFh";1;etle mobile presisi polda jateng penindakan pelanggaran lalu lintas secara elektronik dan humanis dengan menggunakan teknologi jepret jepreett silahkan lanjut aja gpp tapi  hari lagi surat tilangnya dikirim ke rumah makasiih  ;['etle', 'mobile', 'presisi', 'polda', 'jateng', 'tindak', 'langgar', 'lalu', 'lintas', 'cara', 'elektronik', 'dan', 'humanis', 'dengan', 'guna', 'teknologi', 'jepret', 'jepreett', 'silah', 'lanjut', 'saja', 'tidak', 'apa', 'tapi', 'hari', 'lagi', 'surat', 'tilang', 'kirim', 'ke', 'rumah', 'makasiih']
"Tindaklanjuti Perintah Kapolri Hapus Tilang Manual, Kapolda Banten Irjen Pol. Prof. Dr. Rudy Heriyanto Launching ETLE Portable Ditlantas pada Selasa (13/12)

#PolriPresisi
Polda Banten
@silitongashinto
@divisihumaspolri https://t.co/Rr3tjh3YQq";1;tindaklanjuti perintah kapolri hapus tilang manual kapolda banten irjen pol prof dr rudy heriyanto launching etle portable ditlantas pada selasa   polda banten   ;['tindaklanjuti', 'perintah', 'kapolri', 'hapus', 'tilang', 'manual', 'kapolda', 'banten', 'irjen', 'pol', 'prof', 'dr', 'rudy', 'heriyanto', 'launching', 'etle', 'portable', 'ditlantas', 'pada', 'selasa', 'polda', 'banten']
@Shaggy_Solo @gibran_tweet Gampang mengurangi kemacetan bikin kendaraan pesawat terbang mini. Itudi luar negeri ada loch mobil bisa terbang lupa saya di negara mana. Enak kena tilang elektronik 🫣. Maaf netizen kecil;2;  gampang mengurangi kemacetan bikin kendaraan pesawat terbang mini itudi luar negeri ada loch mobil bisa terbang lupa saya di negara mana enak kena tilang elektronik  maaf netizen kecil;['gampang', 'kurang', 'macet', 'bikin', 'kendara', 'pesawat', 'terbang', 'mini', 'itudi', 'luar', 'negeri', 'ada', 'loh', 'mobil', 'bisa', 'terbang', 'lupa', 'saya', 'di', 'negara', 'mana', 'enak', 'kena', 'tilang', 'elektronik', 'maaf', 'netizen', 'kecil']
"Download Sekarang Polri Super APP 

Dengan mendownload aplikasi ini, Dapatkan Informasi Mengenai layanan utama kepolisian yaitu informasi daerah rawan, pengaduan masyarakat, pengurusan SIM, STNK dan SKCK secara online, informasi E-Tilang,  hingga informasi mengenai Pos Polisi. https://t.co/wBAlm59XSb";1;download sekarang polri super app dengan mendownload aplikasi ini dapatkan informasi mengenai layanan utama kepolisian yaitu informasi daerah rawan pengaduan masyarakat pengurusan sim stnk dan skck secara online informasi etilang hingga informasi mengenai pos polisi ;['download', 'sekarang', 'polri', 'super', 'app', 'dengan', 'mendownload', 'aplikasi', 'ini', 'dapat', 'informasi', 'kena', 'layan', 'utama', 'polisi', 'yaitu', 'informasi', 'daerah', 'rawan', 'adu', 'masyarakat', 'urus', 'sim', 'stnk', 'dan', 'skck', 'cara', 'online', 'informasi', 'etilang', 'hingga', 'informasi', 'kena', 'pos', 'polisi']
"@tanyarlfes Jadi org org itu pasti merasa senang karena dia telah melanggar namun tidak di hukum, mereka melupakan bahwa ada cctv yang melihat pelanggaran lalu lintas mereka, dan di kirimlah surat tilang elektronik 

Sama seperti kasus ini, mungkin merek masih merasa senang dan melupakan";0; jadi org org itu pasti merasa senang karena dia telah melanggar namun tidak di hukum mereka melupakan bahwa ada cctv yang melihat pelanggaran lalu lintas mereka dan di kirimlah surat tilang elektronik sama seperti kasus ini mungkin merek masih merasa senang dan melupakan;['jadi', 'org', 'org', 'itu', 'pasti', 'rasa', 'senang', 'karena', 'dia', 'telah', 'langgar', 'namun', 'tidak', 'di', 'hukum', 'mereka', 'lupa', 'bahwa', 'ada', 'cctv', 'yang', 'lihat', 'langgar', 'lalu', 'lintas', 'mereka', 'dan', 'di', 'kirim', 'surat', 'tilang', 'elektronik', 'sama', 'seperti', 'kasus', 'ini', 'mungkin', 'merek', 'masih', 'rasa', 'senang', 'dan', 'lupa']
"Yg pegang tilang elektronik. Orang control. Sekali” orang var juga. Fleksibel

Maap ngor🙏";0;yg pegang tilang elektronik orang control sekali” orang var juga fleksibel maap ngor;['yang', 'pegang', 'tilang', 'elektronik', 'orang', 'control', 'sekali', '', 'orang', 'var', 'juga', 'fleksibel', 'maap', 'ngor']
"@infobdg Cuan cuan cuan..
Sejak penerapan E-Tilang tara ningali polantas, kamarana???????";0; cuan cuan cuan sejak penerapan etilang tara ningali polantas kamarana;['cuan', 'cuan', 'cuan', 'sejak', 'terap', 'etilang', 'tara', 'ningali', 'polisi', 'lalu', 'lintas', 'kamarana']
@kumparan Dari taun kemaren ngomong gitu, etilang bla la la tp prakteknya bnyk bapak2 bawa buku ngumpet dibelakang pohon, diujung jalur busway. 😷;0; dari taun kemaren ngomong gitu etilang bla la la tp prakteknya bnyk bapak bawa buku ngumpet dibelakang pohon diujung jalur busway ;['dari', 'tahun', 'kemarin', 'bicara', 'gitu', 'etilang', 'bla', 'lah', 'lah', 'tapi', 'praktek', 'banyak', 'bapak', 'bawa', 'buku', 'sembunyi', 'belakang', 'pohon', 'ujung', 'jalur', 'busway']
"Barangkali ada yang pernah ngalamin, dapet e-tilang dikirim ke rumah, tapi bukan saya yang melanggar, dan motornga juga bukan motor saya, sepertinya sistem nya salah baca plat nomor gitu. Kita harus gimana ya barangkali ada yang tahu.

Cc, mbok bisa bantu
@TMCPoldaMetro";1;barangkali ada yang pernah ngalamin dapet etilang dikirim ke rumah tapi bukan saya yang melanggar dan motornga juga bukan motor saya sepertinya sistem nya salah baca plat nomor gitu kita harus gimana ya barangkali ada yang tahu cc mbok bisa bantu ;['barangkali', 'ada', 'yang', 'pernah', 'ngalamin', 'dapat', 'etilang', 'kirim', 'ke', 'rumah', 'tapi', 'bukan', 'saya', 'yang', 'langgar', 'dan', 'motornga', 'juga', 'bukan', 'motor', 'saya', 'seperti', 'sistem', 'nya', 'salah', 'baca', 'plat', 'nomor', 'gitu', 'kita', 'harus', 'bagaimana', 'iya', 'barangkali', 'ada', 'yang', 'tahu', 'cc', 'mbok', 'bisa', 'bantu']
@txtdrberseragam Jatah tilang ditempat berubah jadi ETLE. Maka e kerjanya setengah hati...;0; jatah tilang ditempat berubah jadi etle maka e kerjanya setengah hati;['jatah', 'tilang', 'tempat', 'ubah', 'jadi', 'etle', 'maka', 'e', 'kerja', 'tengah', 'hati']
Sejumlah tokoh masyarakat antusias hadiri sosialisasi ETLE di Kantor Camat Plakat Tinggi https://t.co/HMOUsdu0UJ;1;sejumlah tokoh masyarakat antusias hadiri sosialisasi etle di kantor camat plakat tinggi ;['jumlah', 'tokoh', 'masyarakat', 'antusias', 'hadir', 'sosialisasi', 'etle', 'di', 'kantor', 'camat', 'plakat', 'tinggi']
Pemkot dan Polres Metro Tangerang Kota Akan Kerja Sama Pengadaan E-TLE di 2023 https://t.co/io5p8nOjek;1;pemkot dan polres metro tangerang kota akan kerja sama pengadaan etle di  ;['perintah', 'kota', 'dan', 'polres', 'metro', 'tangerang', 'kota', 'akan', 'kerja', 'sama', 'ada', 'etle', 'di']
karena sering latah maka skrg isilop menerapkan sistem e-tilang. e tilang e tilang..;2;karena sering latah maka skrg isilop menerapkan sistem etilang e tilang e tilang;['karena', 'sering', 'latah', 'maka', 'sekarang', 'isilop', 'terap', 'sistem', 'etilang', 'e', 'tilang', 'e', 'tilang']
Membayangkan Polisi Menilang 10 Ribu Pelanggaran Tanpa Kamera ETLE #uzoneID #mobil #motor https://t.co/Jbz40eOpNA;1;membayangkan polisi menilang  ribu pelanggaran tanpa kamera etle    ;['bayang', 'polisi', 'tilang', 'ribu', 'langgar', 'tanpa', 'kamera', 'etle']
"Polres Sukoharjo Operasikan 11 Kamera ETLE Statis di Ruang TMC - Republika https://t.co/e0P3e6pp4t
#Sukoharjo #SukoharjoMakmur #BeritaSukoharjo";1;polres sukoharjo operasikan  kamera etle statis di ruang tmc  republika    ;['polres', 'sukoharjo', 'operasi', 'kamera', 'etle', 'statis', 'di', 'ruang', 'tmc', 'republika']
"Bhabinkamtibmas Polsek Pulau Raja AIPDA SUNARSO menghimbau kepada Masyarakat agar mendownload aplikasi super polri app di play store untuk mendapatkan pelayanan online sbb : 
1. Pengaduan Masyarakat
2. SIM Online
3. Pengurusan STNK Online
4. Tilang  ( ETLE )
5. SP2HP
6. SKCK https://t.co/JBlHYd5zvt";1;bhabinkamtibmas polsek pulau raja aipda sunarso menghimbau kepada masyarakat agar mendownload aplikasi super polri app di play store untuk mendapatkan pelayanan online sbb   pengaduan masyarakat  sim online  pengurusan stnk online  tilang  etle   sphp  skck ;['bhabinkamtibmas', 'polsek', 'pulau', 'raja', 'aipda', 'sunarso', 'menghimbau', 'kepada', 'masyarakat', 'agar', 'mendownload', 'aplikasi', 'super', 'polri', 'app', 'di', 'play', 'store', 'untuk', 'dapat', 'layan', 'online', 'bagai', 'ikut', 'adu', 'masyarakat', 'sim', 'online', 'urus', 'stnk', 'online', 'tilang', 'etle', 'sphp', 'skck']
@fullmoonfolks Terus gimana tilang elektronik ntar kalau masyarakatnya kagamau difoto;0; terus gimana tilang elektronik ntar kalau masyarakatnya kagamau difoto;['terus', 'bagaimana', 'tilang', 'elektronik', 'nanti', 'kalau', 'masyarakat', 'kagamau', 'foto']
